example_id,rule_id,example_type,original_text,content_context,platform,business_domain,content_legal_nature,expected_risk_level,risk_reason,replacement_strategy,revised_text,evidence_required,auto_rewrite_allowed,review_status,notes
E000012,R-A10-001,compliant,感谢您的描述，皮肤问题需要执业医师面诊才能准确判断，我可以帮您预约咨询时间,客服回复,微信,医疗美容,service_information,low,建议面诊，未给诊断结论,,,,true,已审核,
E000013,R-A12-001a,prohibited,XX女明星都在我们这做的热玛吉，效果超级好,推广文案,抖音,医疗美容,medical_advertisement,critical,利用明星背书医疗效果,删除主张,,,false,已审核,不适合改写
E000014,R-A12-001b,compliant,如果您喜欢自然的风格，可以参考XX的审美方向,咨询对话,微信,医疗美容,commercial_recommendation,low,审美参考，未背书具体项目,,,,true,已审核,
E000015,R-A16-001,high_risk,【科普】为什么做完热玛吉一定要补水？点击下方预约专家面诊,公众号文章,微信,医疗美容,uncertain,high,科普名义+预约链接，可能构成变相广告,人工审核,,广告审查证明,false,已审核,需结合S0011认定
E000016,R-A16-001,compliant,本内容为广告，由XX医疗美容医院发布，广审文号:XXXXXX,广告标识,微信,医疗美容,medical_advertisement,low,合规标示广告+审查证明,,,,true,已审核,
E100001,R-A08-101,prohibited,宣传内容写道：“原价”，欢迎立即咨询预约。,运营宣传或咨询,微信;小红书;抖音,医疗美容,medical_advertisement,high,宣传原价、门市价、划线价或折扣，但该比较价格无真实成交记录、适用条件不一致或无法验证。,补充证明材料;删除虚构比较价格,,历史成交记录、价格公示记录、活动方案,false,待法务复核,新增规则明确风险样本
E100002,R-A08-101,boundary,内容使用“门市价”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,历史成交记录、价格公示记录、活动方案,false,待法务复核,边界样本
E100003,R-A08-101,compliant,合规处理：真实可验证的比较价格，明确统计时间、交易条件和适用范围。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,历史成交记录、价格公示记录、活动方案,true,待法务复核,合规反例
E100004,R-A08-101,conditionally_allowed,建议修改稿：请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,补充证明材料;删除虚构比较价格,请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,历史成交记录、价格公示记录、活动方案,false,待法务复核,处理策略示例
E100005,R-A08-102,prohibited,宣传内容写道：“低至”，欢迎立即咨询预约。,运营宣传或咨询,微信;小红书;抖音,医疗美容,medical_advertisement,critical,用低价项目吸引到店，但结算时提高价格、强制加购耗材或收取未预先标明的麻醉、材料、护理等费用。,补充完整价格信息;删除低价引流,,完整价目表和活动细则,false,待法务复核,新增规则明确风险样本
E100006,R-A08-102,boundary,内容使用“仅需”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,完整价目表和活动细则,false,待法务复核,边界样本
E100007,R-A08-102,compliant,合规处理：完整列明项目内容、必要耗材、附加服务、计价方式及不包含项目。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,完整价目表和活动细则,true,待法务复核,合规反例
E100008,R-A08-102,conditionally_allowed,建议修改稿：请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,补充完整价格信息;删除低价引流,请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,完整价目表和活动细则,false,待法务复核,处理策略示例
E100009,R-A08-103,prohibited,宣传内容写道：“免费体验”，欢迎立即咨询预约。,运营宣传或咨询,微信;小红书;抖音,医疗美容,medical_advertisement,high,宣传免费体验、免费治疗、免费设计等，但未清晰披露名额、适用项目、附加购买、到店条件或其他限制。,补充完整活动条件;删除免费主张,,活动方案、履约记录和显著披露截图,false,待法务复核,新增规则明确风险样本
E100010,R-A08-103,boundary,内容使用“免费治疗”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,活动方案、履约记录和显著披露截图,false,待法务复核,边界样本
E100011,R-A08-103,compliant,合规处理：真实免费且显著说明范围、数量、时限、适用人群和附加条件。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,活动方案、履约记录和显著披露截图,true,待法务复核,合规反例
E100012,R-A08-103,conditionally_allowed,建议修改稿：请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,补充完整活动条件;删除免费主张,请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,活动方案、履约记录和显著披露截图,false,待法务复核,处理策略示例
E100013,R-A08-104,prohibited,宣传内容写道：“最后一天”，欢迎立即咨询预约。,运营宣传或咨询,微信;小红书;抖音,医疗美容,medical_advertisement,high,使用最后一天、仅剩若干名额、错过不再等紧迫性表达，但活动反复延长、库存或名额无法证明。,补充真实期限和数量;删除虚假稀缺性,,活动审批、名额台账、发布时间与结束记录,false,待法务复核,新增规则明确风险样本
E100014,R-A08-104,boundary,内容使用“仅剩1个名额”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,活动审批、名额台账、发布时间与结束记录,false,待法务复核,边界样本
E100015,R-A08-104,compliant,合规处理：真实活动期限和名额，可提供内部活动记录并按期结束。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,活动审批、名额台账、发布时间与结束记录,true,待法务复核,合规反例
E100016,R-A08-104,conditionally_allowed,建议修改稿：请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,补充真实期限和数量;删除虚假稀缺性,请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,活动审批、名额台账、发布时间与结束记录,false,待法务复核,处理策略示例
E100017,R-A08-105,prohibited,宣传内容写道：“交定金”，欢迎立即咨询预约。,运营宣传或咨询,微信;小红书;抖音,医疗美容,commercial_recommendation,high,诱导支付定金、预约金或锁价款，却未显著说明用途、抵扣方式、退款条件、有效期和违约责任。,补充退款和有效期说明;暂停诱导付款,,活动条款、合同或付款页面截图,false,待法务复核,新增规则明确风险样本
E100018,R-A08-105,boundary,内容使用“预约金”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,活动条款、合同或付款页面截图,false,待法务复核,边界样本
E100019,R-A08-105,compliant,合规处理：以显著方式披露金额、用途、退款规则、有效期和双方责任。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,活动条款、合同或付款页面截图,true,待法务复核,合规反例
E100020,R-A08-105,conditionally_allowed,建议修改稿：请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,补充退款和有效期说明;暂停诱导付款,请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,活动条款、合同或付款页面截图,false,待法务复核,处理策略示例
E100021,R-A08-106,prohibited,宣传内容写道：“医美贷”，欢迎立即咨询预约。,运营宣传或咨询,微信;小红书;抖音,医疗美容,medical_advertisement,high,用零首付、月供很低、轻松变美等方式诱导融资，却弱化利率、服务费、逾期责任、征信影响或贷款主体。,删除轻率借贷诱导;完整披露成本和风险,,金融机构资质、费用清单、风险提示文本,false,待法务复核,新增规则明确风险样本
E100022,R-A08-106,boundary,内容使用“美容贷”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,金融机构资质、费用清单、风险提示文本,false,待法务复核,边界样本
E100023,R-A08-106,compliant,合规处理：完整披露年化成本、费用、期限、贷款主体、逾期和征信影响，并不得夸大可负担性。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,金融机构资质、费用清单、风险提示文本,true,待法务复核,合规反例
E100024,R-A08-106,conditionally_allowed,建议修改稿：请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,删除轻率借贷诱导;完整披露成本和风险,请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,金融机构资质、费用清单、风险提示文本,false,待法务复核,处理策略示例
E100025,R-A08-107,prohibited,宣传内容写道：“价值999元”，欢迎立即咨询预约。,运营宣传或咨询,微信;小红书;抖音,医疗美容,medical_advertisement,medium,宣称赠品价值、免费加赠或买一送一，但赠品价值不真实、数量不明确或领取条件被弱化。,补充赠品条件;删除虚高价值,,赠品销售记录、活动规则,false,待法务复核,新增规则明确风险样本
E100026,R-A08-107,boundary,内容使用“价值千元”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,medium,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,赠品销售记录、活动规则,false,待法务复核,边界样本
E100027,R-A08-107,compliant,合规处理：标明赠品名称、数量、真实当前售价、适用条件和有效期。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,赠品销售记录、活动规则,true,待法务复核,合规反例
E100028,R-A08-107,conditionally_allowed,建议修改稿：请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,补充赠品条件;删除虚高价值,请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,赠品销售记录、活动规则,false,待法务复核,处理策略示例
E100029,R-A08-108,prohibited,宣传内容写道：“必须搭配”，欢迎立即咨询预约。,运营宣传或咨询,微信;小红书;抖音,医疗美容,diagnosis_communication,critical,通过套餐、到店评估、耗材差异等方式迫使消费者购买额外项目或升级版本。,删除强制措辞;提供清晰可选方案,,套餐说明和单项价目表,false,待法务复核,新增规则明确风险样本
E100030,R-A08-108,boundary,内容使用“必须升级”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,套餐说明和单项价目表,false,待法务复核,边界样本
E100031,R-A08-108,compliant,合规处理：消费者可以自主选择单项或套餐，显著说明差异且不施加不当压力。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,套餐说明和单项价目表,true,待法务复核,合规反例
E100032,R-A08-108,conditionally_allowed,建议修改稿：请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,删除强制措辞;提供清晰可选方案,请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,套餐说明和单项价目表,false,待法务复核,处理策略示例
E100033,R-A08-109,prohibited,宣传内容写道：“比别家便宜”，欢迎立即咨询预约。,运营宣传或咨询,微信;小红书;抖音,医疗美容,medical_advertisement,high,将不同机构、不同耗材、不同规格、不同服务范围的价格直接比较，制造本机构更便宜的印象。,删除无基础比较;补充同等条件和来源,,第三方价格数据和比较方法说明,false,待法务复核,新增规则明确风险样本
E100034,R-A08-109,boundary,内容使用“全城最低价”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,第三方价格数据和比较方法说明,false,待法务复核,边界样本
E100035,R-A08-109,compliant,合规处理：明确比较对象、规格、服务范围、数据来源和统计时间，保证同等条件。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,第三方价格数据和比较方法说明,true,待法务复核,合规反例
E100036,R-A08-109,conditionally_allowed,建议修改稿：请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,删除无基础比较;补充同等条件和来源,请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,第三方价格数据和比较方法说明,false,待法务复核,处理策略示例
E100037,R-A08-110,prohibited,宣传内容写道：“概不退款”，欢迎立即咨询预约。,运营宣传或咨询,微信;小红书;抖音,医疗美容,commercial_recommendation,high,使用一经售出概不退款、最终解释权归本店、任何情况不退不换等格式化表达排除消费者法定权利。,删除绝对免责;改为依法适用的退款规则,,合同条款和退款政策,false,待法务复核,新增规则明确风险样本
E100038,R-A08-110,boundary,内容使用“不退不换”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,合同条款和退款政策,false,待法务复核,边界样本
E100039,R-A08-110,compliant,合规处理：依法、清晰约定取消和退款条件，不排除法定权利。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,合同条款和退款政策,true,待法务复核,合规反例
E100040,R-A08-110,conditionally_allowed,建议修改稿：请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,删除绝对免责;改为依法适用的退款规则,请完整说明项目内容、价格、计价方式、活动期限和所有限制条件，以实际公示为准。,合同条款和退款政策,false,待法务复核,处理策略示例
E100041,R-A10-101,prohibited,客服回复用户：“到店就能做，我现在就给你安排项目。”,运营宣传或咨询,微信;小红书;抖音,医疗美容,diagnosis_communication,critical,客服或运营承诺到院即可做项目、无需面诊或人人适合，绕过执业医师评估和禁忌症筛查。,改为建议到院由执业医师评估,,,false,待法务复核,新增规则明确风险样本
E100042,R-A10-101,boundary,内容使用“不用面诊”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,,false,待法务复核,边界样本
E100043,R-A10-101,compliant,合规处理：仅提供预约服务并说明是否适合须由执业医师面诊评估。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,,true,待法务复核,合规反例
E100044,R-A10-101,conditionally_allowed,建议修改稿：是否适合相关项目需由执业医师结合完整健康情况面诊评估，客服无法在线作出诊断。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,改为建议到院由执业医师评估,是否适合相关项目需由执业医师结合完整健康情况面诊评估，客服无法在线作出诊断。,,false,待法务复核,处理策略示例
E100045,R-A10-102,prohibited,客服回复用户：“没有禁忌，我现在就给你安排项目。”,运营宣传或咨询,微信;小红书;抖音,医疗美容,diagnosis_communication,critical,客服根据文字、照片或简单问答判断不存在禁忌症、可以安全治疗或排除疾病风险。,删除结论;建议由执业医师面诊评估,,,false,待法务复核,新增规则明确风险样本
E100046,R-A10-102,boundary,内容使用“照片看没问题”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,,false,待法务复核,边界样本
E100047,R-A10-102,compliant,合规处理：收集基础信息后转交执业医师评估，不作确定性结论。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,,true,待法务复核,合规反例
E100048,R-A10-102,conditionally_allowed,建议修改稿：是否适合相关项目需由执业医师结合完整健康情况面诊评估，客服无法在线作出诊断。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,删除结论;建议由执业医师面诊评估,是否适合相关项目需由执业医师结合完整健康情况面诊评估，客服无法在线作出诊断。,,false,待法务复核,处理策略示例
E100049,R-A10-103,prohibited,客服回复用户：“先停药，我现在就给你安排项目。”,运营宣传或咨询,微信;小红书;抖音,医疗美容,diagnosis_communication,critical,客服、咨询师或运营人员建议用户停止处方药、调整剂量、购买药物或自行处理症状。,删除用药指令;建议咨询执业医师,,,false,待法务复核,新增规则明确风险样本
E100050,R-A10-103,boundary,内容使用“把药停了”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,,false,待法务复核,边界样本
E100051,R-A10-103,compliant,合规处理：提示用户咨询开药医生或到正规医疗机构就诊。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,,true,待法务复核,合规反例
E100052,R-A10-103,conditionally_allowed,建议修改稿：是否适合相关项目需由执业医师结合完整健康情况面诊评估，客服无法在线作出诊断。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,删除用药指令;建议咨询执业医师,是否适合相关项目需由执业医师结合完整健康情况面诊评估，客服无法在线作出诊断。,,false,待法务复核,处理策略示例
E100053,R-A10-104,prohibited,客服回复用户：“都是正常的，我现在就给你安排项目。”,运营宣传或咨询,微信;小红书;抖音,医疗美容,diagnosis_communication,critical,对红肿、感染、疼痛、过敏等不良反应一概称正常，要求等待或阻止用户及时就医。,改为风险分级提示和及时就医建议,,,false,待法务复核,新增规则明确风险样本
E100054,R-A10-104,boundary,内容使用“忍一忍就好”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,,false,待法务复核,边界样本
E100055,R-A10-104,compliant,合规处理：说明无法在线判断；出现持续、加重或紧急症状应及时联系医生或就医。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,,true,待法务复核,合规反例
E100056,R-A10-104,conditionally_allowed,建议修改稿：是否适合相关项目需由执业医师结合完整健康情况面诊评估，客服无法在线作出诊断。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,改为风险分级提示和及时就医建议,是否适合相关项目需由执业医师结合完整健康情况面诊评估，客服无法在线作出诊断。,,false,待法务复核,处理策略示例
E100057,R-A10-105,prohibited,客服回复用户：“三天恢复，我现在就给你安排项目。”,运营宣传或咨询,微信;小红书;抖音,医疗美容,diagnosis_communication,critical,客服承诺几天恢复、一定不影响工作、周末做周一正常上班等个体化恢复安排。,增加个体差异说明;删除确定性时间,,,false,待法务复核,新增规则明确风险样本
E100058,R-A10-105,boundary,内容使用“不影响工作”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,,false,待法务复核,边界样本
E100059,R-A10-105,compliant,合规处理：可介绍一般流程并明确恢复存在个体差异，最终以医生评估为准。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,,true,待法务复核,合规反例
E100060,R-A10-105,conditionally_allowed,建议修改稿：是否适合相关项目需由执业医师结合完整健康情况面诊评估，客服无法在线作出诊断。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,增加个体差异说明;删除确定性时间,是否适合相关项目需由执业医师结合完整健康情况面诊评估，客服无法在线作出诊断。,,false,待法务复核,处理策略示例
E100061,R-A10-106,prohibited,客服回复用户：“最适合你的是，我现在就给你安排项目。”,运营宣传或咨询,微信;小红书;抖音,医疗美容,diagnosis_communication,high,在未了解病史、过敏史、用药史、妊娠哺乳等信息时，直接推荐具体医美项目或套餐。,改为一般科普;转医生评估,,必要健康信息采集记录,false,待法务复核,新增规则明确风险样本
E100062,R-A10-106,boundary,内容使用“直接做这个”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,必要健康信息采集记录,false,待法务复核,边界样本
E100063,R-A10-106,compliant,合规处理：提供一般项目科普，建议由执业医师结合完整健康情况评估。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,必要健康信息采集记录,true,待法务复核,合规反例
E100064,R-A10-106,conditionally_allowed,建议修改稿：是否适合相关项目需由执业医师结合完整健康情况面诊评估，客服无法在线作出诊断。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,改为一般科普;转医生评估,是否适合相关项目需由执业医师结合完整健康情况面诊评估，客服无法在线作出诊断。,必要健康信息采集记录,false,待法务复核,处理策略示例
E100065,R-A10-107,prohibited,客服回复用户：“给你看案例，我现在就给你安排项目。”,运营宣传或咨询,微信;小红书;抖音,医疗美容,diagnosis_communication,critical,客服在私信、群聊或一对一咨询中发送患者术前术后照片、病例或效果反馈作为说服材料。,删除患者案例和效果证明,,,false,待法务复核,新增规则明确风险样本
E100066,R-A10-107,boundary,内容使用“发你对比图”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,,false,待法务复核,边界样本
E100067,R-A10-107,compliant,合规处理：仅介绍客观流程、资质与风险；不得以患者案例证明效果。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,,true,待法务复核,合规反例
E100068,R-A10-107,conditionally_allowed,建议修改稿：是否适合相关项目需由执业医师结合完整健康情况面诊评估，客服无法在线作出诊断。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,删除患者案例和效果证明,是否适合相关项目需由执业医师结合完整健康情况面诊评估，客服无法在线作出诊断。,,false,待法务复核,处理策略示例
E100069,R-A10-108,prohibited,客服回复用户：“转群里看看，我现在就给你安排项目。”,运营宣传或咨询,微信;小红书;抖音,医疗美容,internal_material,critical,将用户照片、病史、诊断、用药或咨询记录转发到无关群聊、朋友圈或非必要人员。,停止传播;脱敏并限制访问,,单独同意记录、内部授权与脱敏证明,false,待法务复核,新增规则明确风险样本
E100070,R-A10-108,boundary,内容使用“发给大家判断”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,单独同意记录、内部授权与脱敏证明,false,待法务复核,边界样本
E100071,R-A10-108,compliant,合规处理：仅在最小必要范围内由授权人员处理，并进行脱敏和权限控制。,合规化表达,微信;小红书;抖音,医疗美容,service_information,low,未使用高风险主张，并保留必要条件或证据要求。,,,单独同意记录、内部授权与脱敏证明,true,待法务复核,合规反例
E100072,R-A10-108,conditionally_allowed,建议修改稿：是否适合相关项目需由执业医师结合完整健康情况面诊评估，客服无法在线作出诊断。,改写建议,微信;小红书;抖音,医疗美容,service_information,low,通过删除主张、补充条件或转人工复核降低风险。,停止传播;脱敏并限制访问,是否适合相关项目需由执业医师结合完整健康情况面诊评估，客服无法在线作出诊断。,单独同意记录、内部授权与脱敏证明,false,待法务复核,处理策略示例
E100073,R-A10-109,prohibited,客服回复用户：“我是医生，我现在就给你安排项目。”,运营宣传或咨询,微信;小红书;抖音,医疗美容,diagnosis_communication,critical,客服、咨询师、美容师以医生、专家、老师等身份回复，或故意让用户误以为其具备医疗执业资格。,明确真实身份;转接执业医师,,执业医师注册信息,false,待法务复核,新增规则明确风险样本
E100074,R-A10-109,boundary,内容使用“专家建议你”，但当前无法确认是否有真实资质、授权、价格依据或平台报备。,边界场景,微信;小红书;抖音,医疗美容,uncertain,high,需要结合证据、主体身份、发布平台和完整上下文判断。,暂停发布;补充证明材料;人工复核,,执业医师注册信息,false,待法务复核,边界样本
