rule_id,rule_name,category_code,category_name,rule_description,semantic_rule,legal_conclusion,risk_level,basis_type,applicable_business_domain,applicable_content_legal_nature,prohibited_context,allowed_context,evidence_requirement,qualification_requirement,system_action,auto_rewrite_allowed,replacement_strategy,manual_review_required,confidence,review_status,reviewer,effective_status,version,created_at,updated_at,update_reason,updated_source_id,rule_dimension,review_level,notes
R-A06-001,夸大医生资质,A06,医生和机构资质宣传,使用全国最权威专家/第一刀/顶级名医等夸大医生资质的表达，构成虚假或引人误解的宣传，可被认定为虚假广告。,检测医生+顶级/第一/最权威/第一人/泰斗等极端评价,explicitly_prohibited,critical,law;regulatory_guideline,医疗美容,medical_advertisement,广告或商业推广中宣传医生,客观列明执业医师的执业证书编号/执业范围/从业年限/学术论文(需可验证),国家卫健委执业医师注册信息截图链接,执业医师资格证、执业注册证,block,false,删除主张;改为客观信息,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,legal_risk,L1,
R-A06-002,夸大机构资质,A06,医生和机构资质宣传,使用国际认证、亚洲最大、全国最权威机构等夸大机构资质的表达，构成虚假宣传。,检测机构+国际认证/亚洲最大/全国最强/唯一授权等极端修饰,explicitly_prohibited,critical,law,医疗美容,medical_advertisement,广告或推广中宣传机构,客观列出《医疗机构执业许可证》批准信息、已取得合规认证(如JCI认证，附证明),医疗机构执业许可证、官方认证文件,医疗机构执业许可证,block,false,删除主张;补充资质,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,legal_risk,L1,
R-A07-001,无法验证的排名及数据,A07,荣誉排名和数据宣传,使用销量第一/成功率99%/万人选择/有效率100%等无法验证的排名或统计数据，违反广告法关于引证内容真实性要求及S0013引证内容执法指南。,检测:1)数字+排行词;2)百分比+成功率/满意率/有效率;3)万人/百万+选择类表达。判断是否标明出处且可验证。,explicitly_prohibited,critical,law;regulatory_guideline,医疗美容,medical_advertisement,使用无法验证的排名、成功率、满意度等数据宣传,标明出处且可验证的统计数据(需提供原始调查报告/第三方证明/官方数据)，且不构成功效保证,第三方权威机构出具的原始数据报告、官方排名证明文件,,block,false,补充证明材料;删除主张,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L1,
R-A08-001,虚假优惠/紧迫性诱导,A08,价格优惠和诱导消费,使用最低价/最后一天/错过不再/仅限今日等制造紧迫感或虚假价格优惠的表达，违反广告法和消费者权益保护法实施条例关于不得利用虚假价格手段诱导的规定。,检测:1)最低价/超低价/亏本价等绝对价格词;2)最后一天/仅限今日/错过不再/限量等紧迫性表达,conditionally_prohibited,high,law,医疗美容,medical_advertisement,广告中未标明原价依据或实际优惠不实的低价宣传,标明明确活动期限的真实限时优惠;标明原价来源的真实价格比较,原价成交记录(至少7日),,mandatory_human_review,false,补充证明材料;改为客观信息,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L2,
R-A08-002,免费治疗/免费体验诱导,A08,价格优惠和诱导消费,使用免费治疗、免费体验等宣传诱导消费者到店后产生强制或变相消费。医美项目成本高昂，免费治疗宣传本身即可能构成虚假或引人误解的宣传。,检测免费+治疗/体验/面诊/设计等组合，结合医美语境判断是否构成诱导,conditionally_prohibited,high,law;administrative_regulation,医疗美容,medical_advertisement,"以\""免费治疗\""为噱头诱导患者到店",明确告知免费范围和条件且不涉及医疗项目的真实免费咨询(非治疗),免费活动的真实方案文本、知情同意书模板,,warning,false,改为客观信息,true,中,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L2,
R-A09-001,贬低自身形象制造容貌焦虑,A09,焦虑制造和容貌贬损,使用丑女人/脸垮了/显老十岁/土气等贬损自身形象或他人容貌的表达，制造容貌焦虑诱导消费。S0003医疗美容广告执法指南明确将制造容貌焦虑列为重点打击情形。,检测贬义容貌词(丑/老/土/塌/垮)+自身或他人指向,explicitly_prohibited,critical,law;regulatory_guideline,医疗美容,medical_advertisement,任何对外发布内容,无,,,block,false,删除主张,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L1,
R-A09-002,暗示不治疗会失去价值/严重后果,A09,焦虑制造和容貌贬损,使用不做就老了/颜值决定人生/再不保养就没人喜欢了等暗示不进行医美治疗将导致负面后果的表达，制造恐惧和焦虑。,检测条件句(不做/再不/否则)+负面后果(老了/没人要/被淘汰/贬值/失去竞争力),explicitly_prohibited,critical,law;regulatory_guideline,医疗美容,medical_advertisement,任何对外发布内容,无,,,block,false,删除主张,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L1,
R-A10-001,客服/社群未经诊断给出医疗结论,A10,医疗诊断和个体化治疗建议,客服、导购或社群运营人员在未由执业医师面诊的情况下，对用户做出确定性诊断(如你就是XX症/你属于XX肤质)或推荐具体治疗方案。违反S0014指导意见关于不得提供不符诊疗规范承诺的要求。,检测:1)你就是+疾病/症状名称;2)你适合做+项目名称;3)你的问题是+诊断结论;4)应该用/必须做+治疗方式。出现在客服/社群/私信语境中。,explicitly_prohibited,critical,department_rule,医疗美容,diagnosis_communication,客服、导购、社群运营在非面诊情况下对用户进行诊断或推荐具体治疗方案,"执业医师在诊疗过程中对患者的正常诊断沟通;
建议用户到院由执业医师面诊评估(非给出确定性结论)",,执业医师资格,block,false,"改为\""建议到院由执业医师面诊评估\""",true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,legal_risk,L1,
R-A11-001,超适应证或夸大器械/药品效果,A11,药品医疗器械和项目宣传,超出医疗器械注册证或药品说明书批准范围宣传适应证、扩大适用范围、夸大器械或药品效果。S0006明确要求广告内容不得超出注册或备案范围。,检测:1)器械/药品/注射材料名称+超出注册证范围的功效描述;2)将Ⅱ类器械宣传为具有Ⅲ类效果;3)将普通化妆品声称具有医疗功效,explicitly_prohibited,critical,law;department_rule,医疗美容,medical_advertisement,药品/器械/注射材料的任何对外宣传超出注册证批准范围,严格按说明书/注册证适应范围表述,医疗器械注册证/药品注册批件副本,对应器械/药品的注册证,block,false,删除主张;补充资质,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,legal_risk,L1,
R-A12-001a,患者/公众人物为医疗项目效果背书,A12,用户评价代言和推荐证明,使用患者、公众人物、明星的体验分享、推荐或代言证明具体医疗项目效果，违反广告法第十六条及S0012第十一条。,"检测\""XX明星做了这个项目\""/\""XX推荐\""/\""XX同款项目\""(指向医疗效果)等表达",explicitly_prohibited,critical,law;regulatory_guideline,医疗美容,medical_advertisement,任何涉及医疗项目效果背书的代言或推荐,"不涉及医疗项目效果、仅提及审美或风格参考的\""明星同款风格\""(需排除医疗效果暗示)",,,block,false,删除主张,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,legal_risk,L1,拆分为A12-001a(医疗效果背书)和A12-001b(普通审美参考)
R-A12-001b,普通审美风格参考(不涉及医疗效果),A12,用户评价代言和推荐证明,"仅提及审美偏好或风格参考如\""XX明星同款风格\""\""类似XX的自然感\""，不涉及具体医疗项目、效果承诺或背书。需确保不暗示该人接受过特定医美治疗。",检测审美/风格参考未指向具体医疗项目且未声称该人使用了该医美服务。若暗示或可合理推断为使用了某项目则归入A12-001a。,not_applicable,low,law,医疗美容,commercial_recommendation,暗示某公众人物使用了特定医美项目,纯粹美学风格参考，不涉及具体项目,,,pass,true,,false,中,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L4,需严格把关是否暗示该人使用过医美服务
R-A14-001,小红书医美内容平台限制,A14,平台特定违规,小红书平台禁止在笔记、直播、电商中推广三品一械及医疗美容相关服务。具体限制因产品线(自然内容/商业合作/聚光广告/电商直播)不同而有所差异。,检测在小红书语境中涉及医美项目/器械/药品/效果的推广内容,platform_prohibited,high,platform_rule,医疗美容,medical_advertisement,小红书平台上任何涉及医美推广的内容(具体范围依产品线而定),经平台认证账号的合规机构介绍(限非推广性质的客观信息);健康科普(符合科普要求且不涉及推广),小红书商业合作资质、聚光广告开户资质,医疗机构执业许可证,mandatory_human_review,false,人工审核,true,中,已审核,,active,1.0,2026-07-27,2026-07-27,,,platform_risk,L2,平台规则线索来源，待从官方规则中心抓取原文后更新source_id为正式来源
R-A16-001,以科普/探店/案例分享名义未标识广告,A16,广告识别与商业属性披露,以健康科普、探店体验、案例分享等名义发布内容，实际存在商业推广目的且未显著标明广告。S0011第八条列出资质科普中可能被认定广告的行为。,检测:1)科普/答疑/知识分享语境中嵌入机构名称+项目推荐+预约/购买链接;2)探店/体验分享中突出某机构+效果描述+引导消费;3)内容页存在跳转链接/联系方式/优惠信息但未标广告,uncertain,high,regulatory_guideline,医疗美容,uncertain,以非广告形式发布实际为商业推广的医美内容且未标明广告,经审核的真实科普内容(不含商业推广要素)、合规标注的广告内容,内容发布者与机构的关系证明、是否有对价支付,,mandatory_human_review,false,人工审核,true,中,已审核,,active,1.0,2026-07-27,2026-07-27,,,content_nature,L2,需结合S0011广告认定指南第六条/第八条判断是否构成广告
R-A01-003,极限程度副词修饰医美效果,A01,绝对化及最高级表达,使用极、超级、无敌、逆天、惊人、不可思议等极限程度副词直接修饰医美效果或体验，构成夸大宣传。虽不直接使用'最'字，但语义等价于最高级表达。,检测副词(极/超级/无敌/逆天/惊人/不可思议/难以置信/绝了)+医美效果词(效果/变化/改善/提升)的组合。区分日常用语与医美广告语境。,conditionally_prohibited,high,law,医疗美容,medical_advertisement,广告/推广中修饰医美效果、变化程度,主观感受描述且非商业推广(如'做完心情超级好'),,,mandatory_human_review,false,改为客观信息;人工审核,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L2,与'最'字不同，但语义等价；需结合广告认定指南判断发布场景
R-A01-004,行业地位绝对化表达,A01,绝对化及最高级表达,使用行业标杆、领军品牌、领先者、领跑者、佼佼者等暗示企业在行业中排名第一或处于绝对领先地位的表达。构成引人误解的虚假宣传风险。,检测行业/市场+标杆/领军/领先/领跑/翘楚/佼佼者/龙头等词汇的组合,conditionally_prohibited,high,law,医疗美容,medical_advertisement,广告中无第三方权威排名支撑的行业地位宣传,有明确官方或权威第三方排名且标明出处,权威第三方发布的行业排名或市场报告原件,,request_evidence,false,补充证明材料;改为客观信息,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L3,
R-A01-005,全称量化/无一例外型表达,A01,绝对化及最高级表达,使用所有、任何、无一例外、百分百、每个人都适合等全称量词覆盖医美服务适用对象，暗示治疗对所有人有效或适合所有人。构成绝对化功效暗示。,检测所有/任何/无一例外/每个人都+适合/有效/满意/能做的组合;注意日常用语(如'有任何疑问请咨询')需排除,explicitly_prohibited,critical,law,医疗美容,medical_advertisement,广告中覆盖医美服务适用范围的全称量化,非功效类全称(如'有任何疑问可咨询'),,,block,false,删除主张;增加个体差异说明,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L2,交叉A02功效承诺，侧重全称量化逻辑
R-A01-006,排斥竞争性绝对化,A01,绝对化及最高级表达,使用绝无仅有、无人能及、无可匹敌、无出其右、独一无二等完全排斥任何竞争对手的表达。隐含唯一性和最高级。,检测四字格:绝无仅有/无人能及/无可匹敌/无出其右/独一无二/独步天下/鹤立鸡群等,conditionally_prohibited,high,law,医疗美容,medical_advertisement,广告或推广中修饰机构/医生/项目,文学性表达不涉及具体商业竞争(如'每个人都是独一无二的'),,,mandatory_human_review,false,改为客观信息,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L2,反不正当竞争法角度补充
R-A01-007,永恒不变型时间绝对化,A01,绝对化及最高级表达,使用永远、从来、一直、永不过时、经典永恒等时间绝对化词描述医美效果或服务品质，暗示效果具有永久性。,检测永远/从来/一直/永不过时/经典永恒/恒久+效果/美/年轻等组合。与A02-002(time guarantee)交叉，此处侧重绝对化表达维度。,explicitly_prohibited,critical,law,医疗美容,medical_advertisement,广告中时间绝对化修饰效果或品质,品牌理念表达(如'美的追求永无止境')不涉及具体效果,,,block,false,删除主张,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L1,交叉A04，以绝对化维度为主
R-A01-008,完美无瑕型质量绝对化,A01,绝对化及最高级表达,使用完美/毫无瑕疵/无懈可击/天衣无缝/浑然天成等表达，暗示医美效果可以达到绝对完美状态。,检测完美/毫无瑕疵/无懈可击/天衣无缝/浑然天成+与医美效果相关的描述,explicitly_prohibited,critical,law,医疗美容,medical_advertisement,任何对外发布的医美效果描述,无允许场景,,,block,false,删除主张;增加个体差异说明,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L1,
R-A01-009,技术夸大绝对化,A01,绝对化及最高级表达,使用国际领先、全球顶尖技术、黑科技、革命性突破、划时代等表达夸大技术先进性。无法验证的技术绝对化可构成虚假宣传。,检测国际领先/全球顶尖/黑科技/革命性/划时代/颠覆性+技术/设备/仪器等;注意区分新闻媒体报道中的客观评价(需有出处和证据),conditionally_prohibited,high,law,医疗美容,medical_advertisement,广告中无权威技术认证支撑的夸大宣传,有权威第三方技术评估或专利证书且准确引用,国家/国际权威技术认证证书或专利证书,,request_evidence,false,补充证明材料;改为客观技术参数,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L3,
R-A01-010,零差评型口碑绝对化,A01,绝对化及最高级表达,使用零差评、有口皆碑、人人称赞、好评如潮、清一色好评等表达暗示全部用户满意，构成无法验证的绝对化口碑宣传。,检测零差评/有口皆碑/人人称赞/好评如潮/清一色/一致好评/满屏好评等;注意真实平台评分不可篡改展示不在此限,conditionally_prohibited,high,law;regulatory_guideline,医疗美容,medical_advertisement,广告中宣传全部用户零差评/全好评,展示真实可验证的第三方平台评分(附链接和截图日期),第三方平台原始评分数据及评定时间,,request_evidence,false,补充证明材料;删除主张,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L3,
R-A01-011,'首家/独家/唯一授权'型排他性表达,A01,绝对化及最高级表达,使用全国首家、独家技术、唯一授权、XX地区唯一等排他性表达，暗示技术或资质的排他性。无法提供官方排他授权证明则构成虚假宣传。,检测首家/独家/仅此一家/唯一授权/唯一指定/XX地区唯一(+机构/技术/设备/认证)。注意区分已取得官方特许或独家授权的客观陈述(需证据)。,conditionally_prohibited,high,law,医疗美容,medical_advertisement,无官方排他性授权文件的独家宣传,持有官方出具的排他性授权/特许经营/区域唯一代理证明且明确标注,官方出具的排他性授权书或特许经营批文,排他授权或特许经营资质,request_evidence,false,补充证明材料,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L3,
R-A01-012,最高级比较结构(比任何XX都好),A01,绝对化及最高级表达,使用'比任何XX都好/都有效/都安全'等全称比较结构，虽无'最'字，但通过'任何'实现最高级比较效果。,检测比任何+都好/都有效/都安全/都快/都XX;比所有+都好/都XX,explicitly_prohibited,critical,law,医疗美容,medical_advertisement,任何商业广告语境,无,,,block,false,删除主张;改为客观比较,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,expression_risk,L1,
R-A02-003,量化功效承诺,A02,医疗功效承诺,使用具体数字承诺医美效果(缩小X毫米/提升X%/消除X%)，属于功效保证。广告法第十六条禁止功效断言。,检测数字+单位(毫米/厘米/度/%)+改善/提升/缩小/消除/淡化等效果词组合,explicitly_prohibited,critical,law,医疗美容,medical_advertisement,任何对外发布的医美效果量化承诺,经审批的医疗器械说明书中的客观参数(非广告),,,block,false,删除主张,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,
R-A02-004,比价/倍数式功效表达,A02,医疗功效承诺,使用'效果是XX的N倍''比XX方式好得多''远超传统方法'等比价式功效表达，间接但明确地保证效果优越性。,检测效果/恢复(速度)+是+N倍/远超/远胜/碾压/甩开+传统/其他/XX方式;比XX好得多/强得多,explicitly_prohibited,critical,law,医疗美容,medical_advertisement,任何商业推广语境,有临床对照试验数据支撑且标注出处的客观比较(需不构成功效保证+有证据),经注册的临床研究方案及数据报告,,block,false,删除主张;补充证明材料,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,交叉A07需要数据支撑
R-A02-005,无条件/普适型功效表达,A02,医疗功效承诺,使用不管什么情况/无论什么体质/对任何人都管用等无条件功效表达，否认个体差异，强化功效保证。,检测不管/无论/不论+什么/任何(情况/体质/肤质/年龄)+都/一定/肯定+有效/管用,explicitly_prohibited,critical,law,医疗美容,medical_advertisement,任何商业推广,无,,,block,false,删除主张;增加个体差异说明,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,
R-A02-006,治疗结果断言,A02,医疗功效承诺,使用做完一定XX/必然XX/必定XX/肯定XX等断言句式，对治疗结果做出确定性结论。,检测一定/必然/必定/肯定/绝对+效果变化描述(变美/改善/消失/恢复/变好),explicitly_prohibited,critical,law,医疗美容,medical_advertisement,任何商业推广,无,,,block,false,删除主张;增加个体差异说明,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,
R-A02-007,治愈/根治型表述,A02,医疗功效承诺,使用治愈/根治/除根/断根/去根等暗示可以彻底消除疾病或问题的表述，属于明示的医疗功效承诺。,检测治愈/根治/除根/断根/去根/根除+疾病/问题/症状名,explicitly_prohibited,critical,law,医疗美容,medical_advertisement,任何商业推广,经审批的药品说明书功能主治表述(非广告),,,block,false,删除主张;改为客观信息,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,
R-A02-008,反转性/逆生长型功效表达,A02,医疗功效承诺,使用逆龄/回春/重返XX岁/时光倒流/逆袭/逆生长等暗示可以实现与自然规律相反效果的表达。缺乏科学依据，构成引人误解的宣传。,检测逆龄/回春/重返XX岁/时光倒流/逆袭/逆生长/年龄倒转+效果描述,explicitly_prohibited,critical,law,医疗美容,medical_advertisement,任何商业推广,文学性表达不涉及医美效果承诺(如'心态逆龄'),,,block,false,删除主张,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,交叉A13伪科学
R-A02-009,替代手术型功效表达,A02,医疗功效承诺,使用不用开刀就能达到手术效果/替代整形手术/不开刀媲美手术等表达，暗示非手术项目可以达到外科手术的效果。构成夸大功效。,检测不用/无需/替代+手术/开刀+就/也+能/可以+达到/实现/媲美+效果,explicitly_prohibited,critical,law,医疗美容,medical_advertisement,任何商业推广,不涉及效果比较的手术与非手术适应症客观说明,,,block,false,删除主张;改为客观说明适用范围,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,
R-A02-010,'宛如天生/自然天成'类完美功效类比,A02,医疗功效承诺,使用宛如天生/自然天成/就像没做过一样/妈生XX等表达，暗示医美效果可以与自然状态无区别，等同于完美效果承诺。,检测宛如天生/自然天成/就像没做过/妈生/天生的/原生的+部位/效果描述,explicitly_prohibited,critical,law,医疗美容,medical_advertisement,任何商业推广中描述医美效果,不涉及效果描述的审美偏好表达,,,block,false,删除主张,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,
R-A02-011,堆砌/叠加型功效表达,A02,医疗功效承诺,通过大量堆砌多个功效词(不仅XX还YY甚至ZZ)形成暗示该医美项目全能效果的印象。单个功效可能不构成明示保证，但叠加后形成综合功效承诺。,检测'不仅+功效A+还+功效B+甚至+功效C'等多重功效堆叠句式;或连续3个以上功效词并列(提拉、紧致、美白、嫩肤、祛皱……),conditionally_prohibited,high,law,医疗美容,medical_advertisement,广告中过度堆砌功效,经审批的广告审查证明批准范围内的功效描述(不得超出),广告审查证明(含功效描述审批),,mandatory_human_review,false,人工审核,true,中,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L2,组合风险：单项风险中等但叠加后风险升高
R-A02-012,超预期型功效暗示,A02,医疗功效承诺,使用效果超乎想象/惊喜不断/远超预期等表达，暗示实际效果将超出消费者合理的医疗预期，变相保证效果优越。,检测效果+超乎想象/超出预期/惊喜/惊艳/意想不到+好/棒/满意/完美,explicitly_prohibited,critical,law,医疗美容,medical_advertisement,任何商业推广中描述效果,无,,,block,false,删除主张;增加个体差异说明,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,
R-A03-003,安全性比较,A03,安全性和无风险承诺,使用比XX安全/比其他方式风险低/更安全的选择等通过比较贬低其他方式安全性的表达，间接承诺自身安全。,检测比+XX(方式/产品/机构)+安全/放心/可靠;更安全/最安全的选择,explicitly_prohibited,critical,law,医疗美容,medical_advertisement,任何商业推广,有临床安全数据支撑且不构成绝对安全承诺的客观比较(需人工审核),经注册的临床安全性研究数据,,block,false,删除主张;补充证明材料,true,高,已审核,,active,1.0,2026-07-27,2026-07-27,,,medical_efficacy_risk,L1,
