variant_id,rule_id,variant_text,variant_type,matching_method,regex_pattern,case_sensitive,exact_match_required,language,confidence,review_status,notes
V000111,R-A02-011,不仅提拉还紧致甚至美白,sentence_pattern,fuzzy,,false,false,zh-CN,中,已审核,
V000112,R-A02-011,美白、祛斑、嫩肤、提拉、紧致、缩毛孔,sentence_pattern,fuzzy,,false,false,zh-CN,中,已审核,连续3+功效词并列
V000113,R-A02-012,效果超乎想象,keyword,exact,,false,true,zh-CN,高,已审核,
V000114,R-A02-012,惊喜效果,keyword,exact,,false,true,zh-CN,高,已审核,
V000115,R-A03-003,比其他方式安全,sentence_pattern,contains,,false,false,zh-CN,高,已审核,
V000116,R-A03-003,更安全的选择,keyword,exact,,false,true,zh-CN,高,已审核,
V000117,R-A03-004,就像打针一样简单,keyword,exact,,false,true,zh-CN,高,已审核,
V000118,R-A03-004,跟做面膜差不多,keyword,exact,,false,true,zh-CN,高,已审核,
V000119,R-A03-005,完全不用担心,keyword,exact,,false,true,zh-CN,高,已审核,
V000120,R-A03-005,放心做,keyword,exact,,false,true,zh-CN,高,已审核,
V000121,R-A03-006,做完就能上班,keyword,exact,,false,true,zh-CN,高,已审核,
V000122,R-A03-006,不影响工作,keyword,exact,,false,true,zh-CN,高,已审核,
V000123,R-A03-007,获得FDA安全认证,keyword,exact,,false,true,zh-CN,高,已审核,
V000124,R-A03-007,通过欧盟CE安全认证,keyword,exact,,false,true,zh-CN,高,已审核,
V000125,R-A03-008,孕妇可用,keyword,exact,,false,true,zh-CN,高,已审核,
V000126,R-A03-008,敏感肌绝对安全,keyword,exact,,false,true,zh-CN,高,已审核,
V000127,R-A04-002,做完就能看到,keyword,exact,,false,true,zh-CN,高,已审核,
V000128,R-A04-002,立竿见影,keyword,exact,,false,true,zh-CN,高,已审核,
V000129,R-A04-002,即刻见效,keyword,exact,,false,true,zh-CN,高,已审核,
V000130,R-A04-003,效果保持十年,sentence_pattern,fuzzy,保持\d+年,false,false,zh-CN,高,已审核,
V000131,R-A04-003,五年不用再做,sentence_pattern,fuzzy,\d+年不用再,false,false,zh-CN,高,已审核,
V000132,R-A04-004,恢复比别人快一倍,keyword,exact,,false,true,zh-CN,高,已审核,
V000133,R-A04-004,体质好恢复快,keyword,exact,,false,true,zh-CN,高,已审核,
V000134,R-A04-005,午休式美容,keyword,exact,,false,true,zh-CN,高,已审核,
V000135,R-A04-005,午饭时间搞定,keyword,exact,,false,true,zh-CN,高,已审核,
V000136,R-A04-006,做完年轻十岁,keyword,exact,,false,true,zh-CN,高,已审核,
V000137,R-A04-006,重返青春,keyword,exact,,false,true,zh-CN,高,已审核,
V000138,R-A04-007,一个疗程必定见效,keyword,exact,,false,true,zh-CN,高,已审核,
V000139,R-A04-007,三次保证好,keyword,exact,,false,true,zh-CN,高,已审核,
V000140,R-A04-008,一周搞定,keyword,exact,,false,true,zh-CN,高,已审核,
V000141,R-A04-008,婚礼前变美,keyword,exact,,false,true,zh-CN,高,已审核,
V000142,R-A07-002,已完成XX万例,sentence_pattern,fuzzy,(已?完成|超过)\d+万例,false,false,zh-CN,高,已审核,
V000143,R-A07-002,累计服务XX万人,sentence_pattern,fuzzy,(累计|服务)\d+万人,false,false,zh-CN,高,已审核,
V000144,R-A07-003,年增长300%,sentence_pattern,fuzzy,(年|同比)增长\d+(\.\d+)?%,false,false,zh-CN,高,已审核,
V000145,R-A07-003,复购率XX%,sentence_pattern,fuzzy,复购率\d+(\.\d+)?%,false,false,zh-CN,高,已审核,
V000146,R-A07-004,服务超过XX万人,sentence_pattern,fuzzy,服务(超过|了)\d+万,false,false,zh-CN,高,已审核,
V000147,R-A07-004,X市排名第一,sentence_pattern,fuzzy,".{2,4}排名第[一二三1-3]",false,false,zh-CN,高,已审核,
V000148,R-A07-005,CCTV推荐,keyword,exact,,false,true,zh-CN,高,已审核,
V000149,R-A07-005,央视报道,keyword,exact,,false,true,zh-CN,高,已审核,
V000150,R-A07-006,荣获XX大奖,sentence_pattern,fuzzy,"(荣获|获得|被评为)?.{0,10}(大奖|称号|示范)",false,false,zh-CN,高,已审核,
V000151,R-A07-006,XX级示范单位,sentence_pattern,fuzzy,,false,false,zh-CN,高,已审核,
V000152,R-A07-007,市场占有率第一,keyword,exact,,false,true,zh-CN,高,已审核,
V000153,R-A07-007,医美行业十强,keyword,exact,,false,true,zh-CN,高,已审核,
V000154,R-A07-008,99%客户推荐,sentence_pattern,fuzzy,"\d+(\.\d+)?%+.{0,6}(推荐|满意|好评)",false,false,zh-CN,高,已审核,
V000155,R-A07-008,满意度调查显示98%,sentence_pattern,fuzzy,"满意度.{0,5}\d+(\.\d+)?%",false,false,zh-CN,高,已审核,
V000156,R-A07-009,拥有X项国家专利,sentence_pattern,fuzzy,"\d+项.{0,6}专利",false,false,zh-CN,中,已审核,
V000157,R-A07-009,XX国原装进口,keyword,exact,,false,true,zh-CN,中,已审核,
V000158,R-A07-010,发表X篇SCI论文,sentence_pattern,fuzzy,"\d+篇.{0,6}(SCI|论文|核心)",false,false,zh-CN,中,已审核,
V000159,R-A07-010,参与X项国家标准制定,sentence_pattern,fuzzy,"\d+项.{0,6}(国标|国家标准|行业标准)",false,false,zh-CN,中,已审核,
V000160,R-A05-003,第1天到第30天变化,sentence_pattern,fuzzy,,false,false,zh-CN,高,已审核,
V000161,R-A05-003,Day 7恢复记录,sentence_pattern,contains,,false,false,zh-CN,高,已审核,
V000162,R-A05-003,蜕变日记,keyword,exact,,false,true,zh-CN,高,已审核,
V000163,R-A05-004,效果视频,keyword,exact,,false,true,zh-CN,高,已审核,
V000164,R-A05-004,恢复全程视频,keyword,exact,,false,true,zh-CN,高,已审核,
V000165,R-A05-005,改善率95%,sentence_pattern,fuzzy,改善率\d+(\.\d+)?%,false,false,zh-CN,高,已审核,
V000166,R-A05-005,有效率XX%,sentence_pattern,fuzzy,有效率\d+(\.\d+)?%,false,false,zh-CN,高,已审核,
V000167,R-A05-006,你看人家做完的变化,sentence_pattern,contains,,false,false,zh-CN,中,已审核,
V000168,R-A05-006,对比一下你就知道了,keyword,exact,,false,true,zh-CN,中,已审核,
V000169,R-A05-007,素人医美体验分享,keyword,exact,,false,true,zh-CN,高,已审核,
V000170,R-A05-007,KOL医美亲测,keyword,contains,,false,false,zh-CN,高,已审核,
V000171,R-A05-007,医美日记打卡,keyword,exact,,false,true,zh-CN,高,已审核,
V000172,R-A06-003,冒用执业证书,keyword,exact,,false,true,zh-CN,高,已审核,
V000173,R-A06-003,伪造职称,keyword,exact,,false,true,zh-CN,高,已审核,
V000174,R-A06-004,XX学会会长,sentence_pattern,fuzzy,".{2,6}学会.{0,5}(会长|理事|委员)",false,false,zh-CN,高,已审核,
V000175,R-A06-004,学科带头人,keyword,exact,,false,true,zh-CN,高,已审核,
V000176,R-A06-004,XX大学特聘教授,sentence_pattern,fuzzy,,false,false,zh-CN,高,已审核,
V000177,R-A06-005,专家推荐,keyword,exact,,false,true,zh-CN,高,已审核,
V000178,R-A06-005,资深美容师诊断,keyword,exact,,false,true,zh-CN,高,已审核,
V000179,R-A06-006,展示过期认证证书,keyword,exact,,false,true,zh-CN,高,已审核,
V000180,R-A06-006,已注销执业许可证,keyword,exact,,false,true,zh-CN,高,已审核,
V000181,R-A06-007,与XX医院战略合作,sentence_pattern,fuzzy,"与.{2,10}(医院|大学|研究所)+.{0,5}(合作|战略|联合|附属)",false,false,zh-CN,高,已审核,
V000182,R-A06-007,XX大学附属医院,sentence_pattern,fuzzy,".{2,6}大学.{0,3}附属.{0,5}医院",false,false,zh-CN,高,已审核,
V000183,R-A10-002,线上面诊,keyword,exact,,false,true,zh-CN,高,已审核,
V000184,R-A10-002,远程诊断,keyword,exact,,false,true,zh-CN,高,已审核,
V000185,R-A10-003,脸上有斑的姐妹做XX,sentence_pattern,fuzzy,"脸上有.{1,6}的.{0,6}(姐妹|朋友|人).{0,5}做",false,false,zh-CN,高,已审核,
V000186,R-A10-003,毛孔粗大就做XX,sentence_pattern,fuzzy,"(毛孔|法令纹|黑眼圈|松弛|斑点).{0,3}(就|适合|应该).{0,3}做",false,false,zh-CN,高,已审核,
V000187,R-A10-003,法令纹深适合XX,sentence_pattern,fuzzy,,false,false,zh-CN,高,已审核,
V000188,R-A10-004,AI智能面诊,keyword,exact,,false,true,zh-CN,中,已审核,
V000189,R-A10-004,算法推荐治疗方案,keyword,exact,,false,true,zh-CN,中,已审核,
V000190,R-A10-005,一定要做XX,sentence_pattern,fuzzy,"(一定要|必须做|不做会).{0,10}(越来越|恶化|更严重)",false,false,zh-CN,高,已审核,
V000191,R-A10-005,不做会越来越严重,keyword,exact,,false,true,zh-CN,高,已审核,
V000192,R-A10-006,症状对照表,keyword,exact,,false,true,zh-CN,高,已审核,
V000193,R-A10-006,项目速查表,keyword,exact,,false,true,zh-CN,高,已审核,
V000194,R-A11-002,处方药广告未标警示,keyword,exact,,false,true,zh-CN,高,已审核,
V000195,R-A11-003,医美级修复面膜,keyword,exact,,false,true,zh-CN,高,已审核,
V000196,R-A11-003,替代激光治疗的精华,keyword,exact,,false,true,zh-CN,高,已审核,
V000197,R-A11-003,媲美水光针效果,keyword,exact,,false,true,zh-CN,高,已审核,
V000198,R-A11-004,海外最新上市,keyword,exact,,false,true,zh-CN,高,已审核,
V000199,R-A11-004,XX国最新器械,sentence_pattern,fuzzy,,false,false,zh-CN,高,已审核,
V000200,R-A11-005,工业级冒充医用级,keyword,exact,,false,true,zh-CN,高,已审核,
V000201,R-A11-005,成分标注与注册证不符,keyword,exact,,false,true,zh-CN,高,已审核,
V000202,R-A11-006,鼻部精雕护理,keyword,exact,,false,true,zh-CN,中,已审核,实际为隆鼻手术
V000203,R-A11-006,体态管理塑形,keyword,exact,,false,true,zh-CN,中,已审核,实际为吸脂手术
V000204,R-A11-007,奥美定取出修复,keyword,exact,,false,true,zh-CN,高,已审核,
V000205,R-A11-007,液态硅胶注射,keyword,exact,,false,true,zh-CN,高,已审核,
V000206,R-A12-002,XX教授推荐本院,sentence_pattern,fuzzy,".{2,6}(教授|医生|专家|主任).{0,5}(推荐|认证|代言)",false,false,zh-CN,高,已审核,
V000207,R-A12-002,XX医生认证机构,sentence_pattern,fuzzy,,false,false,zh-CN,高,已审核,
V000208,R-A12-003,网红体验分享未标注广告,keyword,exact,,false,true,zh-CN,高,已审核,
V000209,R-A12-003,KOL推荐医美项目,keyword,exact,,false,true,zh-CN,高,已审核,
V000210,R-A12-004,刷好评,keyword,exact,,false,true,zh-CN,中,已审核,
V000211,R-A12-004,删差评,keyword,exact,,false,true,zh-CN,中,已审核,
V000212,R-A12-005,别去XX医院,sentence_pattern,fuzzy,"(别去|千万别去|不要去).{0,10}(医院|机构|诊所)",false,false,zh-CN,高,已审核,
V000213,R-A12-005,XX机构坑人,sentence_pattern,fuzzy,".{2,8}(机构|医院).{0,3}(坑|不行|差|后悔)",false,false,zh-CN,高,已审核,
V000214,R-A12-006,明星推荐限时特价,keyword,exact,,false,true,zh-CN,高,已审核,
V000215,R-A12-006,专家推荐最后一天,keyword,exact,,false,true,zh-CN,高,已审核,
V000216,R-A13-001,量子医美,keyword,exact,,false,true,zh-CN,高,已审核,
V000217,R-A13-001,纳米级修复,keyword,exact,,false,true,zh-CN,高,已审核,
V000218,R-A13-001,DNA级再生,keyword,exact,,false,true,zh-CN,高,已审核,
V000219,R-A13-001,细胞级重塑,keyword,exact,,false,true,zh-CN,高,已审核,
V000220,R-A13-002,经络疏通消除皱纹,keyword,exact,,false,true,zh-CN,高,已审核,
V000221,R-A13-002,穴位注射塑形,keyword,exact,,false,true,zh-CN,高,已审核,
V000222,R-A13-003,激活休眠细胞,keyword,exact,,false,true,zh-CN,高,已审核,
V000223,R-A13-003,打开皮肤吸收通道,keyword,exact,,false,true,zh-CN,高,已审核,
V000224,R-A13-003,修复DNA断裂,keyword,exact,,false,true,zh-CN,高,已审核,
V000225,R-A13-003,重启细胞代谢引擎,keyword,exact,,false,true,zh-CN,高,已审核,
V000226,R-A13-004,磁场修复,keyword,exact,,false,true,zh-CN,高,已审核,
V000227,R-A13-004,能量激活,keyword,exact,,false,true,zh-CN,高,已审核,
V000228,R-A13-004,频率共振美白,keyword,exact,,false,true,zh-CN,高,已审核,
V000229,R-A13-005,XX大学研究证实,sentence_pattern,fuzzy,".{2,6}(大学|机构).{0,5}(研究证实|研究表明|论文证实)",false,false,zh-CN,高,已审核,
V000230,R-A13-005,发表于Nature的论文,sentence_pattern,fuzzy,,false,false,zh-CN,高,已审核,
V000231,R-A13-006,祖传秘方,keyword,exact,,false,true,zh-CN,高,已审核,
V000232,R-A13-006,独家偏方,keyword,exact,,false,true,zh-CN,高,已审核,
V000233,R-A13-006,宫廷秘方,keyword,exact,,false,true,zh-CN,高,已审核,
V000234,R-A13-006,古法美容,keyword,exact,,false,true,zh-CN,高,已审核,
