relation_id,rule_id,platform,platform_product_line,account_type,content_type,platform_action,effective_status,source_id,access_date,notes
RP1005,R-A08-102,微信,微信朋友圈个人内容,个人号,朋友圈,阻止,pending_review,S0028,2026-07-27,通用价格规则+平台内容场景
RP1006,R-A08-102,微信,微信社群/私信,客服号,社群/私信,阻止,pending_review,S0010,2026-07-27,通用价格规则+平台内容场景
RP1007,R-A08-102,小红书,小红书自然笔记,个人号,笔记,阻止,pending_review,S0018,2026-07-27,通用价格规则+平台内容场景
RP1008,R-A08-102,抖音,抖音普通内容,个人号,短视频/直播,阻止,pending_review,S0022,2026-07-27,通用价格规则+平台内容场景
RP1009,R-A08-103,微信,微信朋友圈个人内容,个人号,朋友圈,人工审核,pending_review,S0028,2026-07-27,通用价格规则+平台内容场景
RP1010,R-A08-103,微信,微信社群/私信,客服号,社群/私信,人工审核,pending_review,S0010,2026-07-27,通用价格规则+平台内容场景
RP1011,R-A08-103,小红书,小红书自然笔记,个人号,笔记,人工审核,pending_review,S0018,2026-07-27,通用价格规则+平台内容场景
RP1012,R-A08-103,抖音,抖音普通内容,个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,通用价格规则+平台内容场景
RP1013,R-A08-104,微信,微信朋友圈个人内容,个人号,朋友圈,人工审核,pending_review,S0028,2026-07-27,通用价格规则+平台内容场景
RP1014,R-A08-104,微信,微信社群/私信,客服号,社群/私信,人工审核,pending_review,S0010,2026-07-27,通用价格规则+平台内容场景
RP1015,R-A08-104,小红书,小红书自然笔记,个人号,笔记,人工审核,pending_review,S0018,2026-07-27,通用价格规则+平台内容场景
RP1016,R-A08-104,抖音,抖音普通内容,个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,通用价格规则+平台内容场景
RP1017,R-A08-105,微信,微信朋友圈个人内容,个人号,朋友圈,人工审核,pending_review,S0028,2026-07-27,通用价格规则+平台内容场景
RP1018,R-A08-105,微信,微信社群/私信,客服号,社群/私信,人工审核,pending_review,S0010,2026-07-27,通用价格规则+平台内容场景
RP1019,R-A08-105,小红书,小红书自然笔记,个人号,笔记,人工审核,pending_review,S0018,2026-07-27,通用价格规则+平台内容场景
RP1020,R-A08-105,抖音,抖音普通内容,个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,通用价格规则+平台内容场景
RP1021,R-A08-106,微信,微信朋友圈个人内容,个人号,朋友圈,人工审核,pending_review,S0028,2026-07-27,通用价格规则+平台内容场景
RP1022,R-A08-106,微信,微信社群/私信,客服号,社群/私信,人工审核,pending_review,S0010,2026-07-27,通用价格规则+平台内容场景
RP1023,R-A08-106,小红书,小红书自然笔记,个人号,笔记,人工审核,pending_review,S0018,2026-07-27,通用价格规则+平台内容场景
RP1024,R-A08-106,抖音,抖音普通内容,个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,通用价格规则+平台内容场景
RP1025,R-A08-107,微信,微信朋友圈个人内容,个人号,朋友圈,人工审核,pending_review,S0028,2026-07-27,通用价格规则+平台内容场景
RP1026,R-A08-107,微信,微信社群/私信,客服号,社群/私信,人工审核,pending_review,S0010,2026-07-27,通用价格规则+平台内容场景
RP1027,R-A08-107,小红书,小红书自然笔记,个人号,笔记,人工审核,pending_review,S0018,2026-07-27,通用价格规则+平台内容场景
RP1028,R-A08-107,抖音,抖音普通内容,个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,通用价格规则+平台内容场景
RP1029,R-A08-108,微信,微信朋友圈个人内容,个人号,朋友圈,阻止,pending_review,S0028,2026-07-27,通用价格规则+平台内容场景
RP1030,R-A08-108,微信,微信社群/私信,客服号,社群/私信,阻止,pending_review,S0010,2026-07-27,通用价格规则+平台内容场景
RP1031,R-A08-108,小红书,小红书自然笔记,个人号,笔记,阻止,pending_review,S0018,2026-07-27,通用价格规则+平台内容场景
RP1032,R-A08-108,抖音,抖音普通内容,个人号,短视频/直播,阻止,pending_review,S0022,2026-07-27,通用价格规则+平台内容场景
RP1033,R-A08-109,微信,微信朋友圈个人内容,个人号,朋友圈,人工审核,pending_review,S0028,2026-07-27,通用价格规则+平台内容场景
RP1034,R-A08-109,微信,微信社群/私信,客服号,社群/私信,人工审核,pending_review,S0010,2026-07-27,通用价格规则+平台内容场景
RP1035,R-A08-109,小红书,小红书自然笔记,个人号,笔记,人工审核,pending_review,S0018,2026-07-27,通用价格规则+平台内容场景
RP1036,R-A08-109,抖音,抖音普通内容,个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,通用价格规则+平台内容场景
RP1037,R-A08-110,微信,微信朋友圈个人内容,个人号,朋友圈,人工审核,pending_review,S0028,2026-07-27,通用价格规则+平台内容场景
RP1038,R-A08-110,微信,微信社群/私信,客服号,社群/私信,人工审核,pending_review,S0010,2026-07-27,通用价格规则+平台内容场景
RP1039,R-A08-110,小红书,小红书自然笔记,个人号,笔记,人工审核,pending_review,S0018,2026-07-27,通用价格规则+平台内容场景
RP1040,R-A08-110,抖音,抖音普通内容,个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,通用价格规则+平台内容场景
RP1041,R-A10-101,微信,微信社群/私信,客服号,客服话术,阻止,pending_review,S0014,2026-07-27,客服和互动场景
RP1042,R-A10-101,小红书,小红书评论/私信,专业号/个人号,评论/私信,阻止,pending_review,S0018,2026-07-27,客服和互动场景
RP1043,R-A10-101,抖音,抖音评论/私信/直播,企业号/个人号,评论/私信/直播,阻止,pending_review,S0022,2026-07-27,客服和互动场景
RP1044,R-A10-102,微信,微信社群/私信,客服号,客服话术,阻止,pending_review,S0014,2026-07-27,客服和互动场景
RP1045,R-A10-102,小红书,小红书评论/私信,专业号/个人号,评论/私信,阻止,pending_review,S0018,2026-07-27,客服和互动场景
RP1046,R-A10-102,抖音,抖音评论/私信/直播,企业号/个人号,评论/私信/直播,阻止,pending_review,S0022,2026-07-27,客服和互动场景
RP1047,R-A10-103,微信,微信社群/私信,客服号,客服话术,阻止,pending_review,S0014,2026-07-27,客服和互动场景
RP1048,R-A10-103,小红书,小红书评论/私信,专业号/个人号,评论/私信,阻止,pending_review,S0018,2026-07-27,客服和互动场景
RP1049,R-A10-103,抖音,抖音评论/私信/直播,企业号/个人号,评论/私信/直播,阻止,pending_review,S0022,2026-07-27,客服和互动场景
RP1050,R-A10-104,微信,微信社群/私信,客服号,客服话术,阻止,pending_review,S0014,2026-07-27,客服和互动场景
RP1051,R-A10-104,小红书,小红书评论/私信,专业号/个人号,评论/私信,阻止,pending_review,S0018,2026-07-27,客服和互动场景
RP1052,R-A10-104,抖音,抖音评论/私信/直播,企业号/个人号,评论/私信/直播,阻止,pending_review,S0022,2026-07-27,客服和互动场景
RP1053,R-A10-105,微信,微信社群/私信,客服号,客服话术,阻止,pending_review,S0014,2026-07-27,客服和互动场景
RP1054,R-A10-105,小红书,小红书评论/私信,专业号/个人号,评论/私信,阻止,pending_review,S0018,2026-07-27,客服和互动场景
RP1055,R-A10-105,抖音,抖音评论/私信/直播,企业号/个人号,评论/私信/直播,阻止,pending_review,S0022,2026-07-27,客服和互动场景
RP1056,R-A10-106,微信,微信社群/私信,客服号,客服话术,阻止,pending_review,S0014,2026-07-27,客服和互动场景
RP1057,R-A10-106,小红书,小红书评论/私信,专业号/个人号,评论/私信,阻止,pending_review,S0018,2026-07-27,客服和互动场景
RP1058,R-A10-106,抖音,抖音评论/私信/直播,企业号/个人号,评论/私信/直播,阻止,pending_review,S0022,2026-07-27,客服和互动场景
RP1059,R-A10-107,微信,微信社群/私信,客服号,客服话术,阻止,pending_review,S0014,2026-07-27,客服和互动场景
RP1060,R-A10-107,小红书,小红书评论/私信,专业号/个人号,评论/私信,阻止,pending_review,S0018,2026-07-27,客服和互动场景
RP1061,R-A10-107,抖音,抖音评论/私信/直播,企业号/个人号,评论/私信/直播,阻止,pending_review,S0022,2026-07-27,客服和互动场景
RP1062,R-A10-108,微信,微信社群/私信,客服号,客服话术,阻止,pending_review,S0014,2026-07-27,客服和互动场景
RP1063,R-A10-108,小红书,小红书评论/私信,专业号/个人号,评论/私信,阻止,pending_review,S0018,2026-07-27,客服和互动场景
RP1064,R-A10-108,抖音,抖音评论/私信/直播,企业号/个人号,评论/私信/直播,阻止,pending_review,S0022,2026-07-27,客服和互动场景
RP1065,R-A10-109,微信,微信社群/私信,客服号,客服话术,阻止,pending_review,S0014,2026-07-27,客服和互动场景
RP1066,R-A10-109,小红书,小红书评论/私信,专业号/个人号,评论/私信,阻止,pending_review,S0018,2026-07-27,客服和互动场景
RP1067,R-A10-109,抖音,抖音评论/私信/直播,企业号/个人号,评论/私信/直播,阻止,pending_review,S0022,2026-07-27,客服和互动场景
RP1068,R-A10-110,微信,微信社群/私信,客服号,客服话术,阻止,pending_review,S0014,2026-07-27,客服和互动场景
RP1069,R-A10-110,小红书,小红书评论/私信,专业号/个人号,评论/私信,阻止,pending_review,S0018,2026-07-27,客服和互动场景
RP1070,R-A10-110,抖音,抖音评论/私信/直播,企业号/个人号,评论/私信/直播,阻止,pending_review,S0022,2026-07-27,客服和互动场景
RP1071,R-A14-101,小红书,小红书自然笔记,个人号,笔记,人工审核,pending_review,S0018,2026-07-27,
RP1072,R-A14-102,小红书,小红书商业合作,达人号,笔记,人工审核,pending_review,S0020,2026-07-27,
RP1073,R-A14-103,小红书,小红书自然笔记,个人号,标题/正文/评论,阻止,pending_review,S0018,2026-07-27,
RP1074,R-A14-104,小红书,小红书专业号,企业号,账号资料,要求资质,pending_review,S0019,2026-07-27,
RP1075,R-A14-105,抖音,抖音普通内容,个人号,短视频/直播,阻止,pending_review,S0022,2026-07-27,
RP1076,R-A14-105,抖音,抖音电商,商家号,商品/直播,阻止,pending_review,S0022,2026-07-27,
RP1077,R-A14-106,抖音,抖音直播,企业号,直播口播,阻止,pending_review,S0022,2026-07-27,
RP1078,R-A14-107,抖音,抖音普通内容,个人号,评论/私信/口播,阻止,pending_review,S0022,2026-07-27,
RP1079,R-A14-108,抖音,抖音普通内容,个人号,标题/口播/画面文字,阻止,pending_review,S0022,2026-07-27,
RP1080,R-A14-109,微信,微信朋友圈个人内容,个人号,朋友圈,人工审核,pending_review,S0028,2026-07-27,
RP1081,R-A14-110,微信,微信公众号自然内容,企业号,文章,人工审核,pending_review,S0028,2026-07-27,
RP1082,R-A14-111,微信,微信视频号直播,企业号,直播/视频,阻止,pending_review,S0025,2026-07-27,
RP1083,R-A14-112,微信,微信社群/私信,客服号,群消息/私信,阻止,pending_review,S0003,2026-07-27,
RP1084,R-A15-101,微信,朋友圈/公众号/社群,企业号/个人号,图文/私信,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1085,R-A15-101,小红书,自然笔记/专业号/商业合作,企业号/个人号/达人号,图文/视频,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1086,R-A15-101,抖音,短视频/直播/私信,企业号/个人号,视频/直播/私信,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1087,R-A15-102,微信,朋友圈/公众号/社群,企业号/个人号,图文/私信,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1088,R-A15-102,小红书,自然笔记/专业号/商业合作,企业号/个人号/达人号,图文/视频,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1089,R-A15-102,抖音,短视频/直播/私信,企业号/个人号,视频/直播/私信,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1090,R-A15-103,微信,朋友圈/公众号/社群,企业号/个人号,图文/私信,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1091,R-A15-103,小红书,自然笔记/专业号/商业合作,企业号/个人号/达人号,图文/视频,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1092,R-A15-103,抖音,短视频/直播/私信,企业号/个人号,视频/直播/私信,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1093,R-A15-104,微信,朋友圈/公众号/社群,企业号/个人号,图文/私信,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1094,R-A15-104,小红书,自然笔记/专业号/商业合作,企业号/个人号/达人号,图文/视频,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1095,R-A15-104,抖音,短视频/直播/私信,企业号/个人号,视频/直播/私信,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1096,R-A15-105,微信,朋友圈/公众号/社群,企业号/个人号,图文/私信,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1097,R-A15-105,小红书,自然笔记/专业号/商业合作,企业号/个人号/达人号,图文/视频,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1098,R-A15-105,抖音,短视频/直播/私信,企业号/个人号,视频/直播/私信,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1099,R-A15-106,微信,朋友圈/公众号/社群,企业号/个人号,图文/私信,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1100,R-A15-106,小红书,自然笔记/专业号/商业合作,企业号/个人号/达人号,图文/视频,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1101,R-A15-106,抖音,短视频/直播/私信,企业号/个人号,视频/直播/私信,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1102,R-A15-107,微信,朋友圈/公众号/社群,企业号/个人号,图文/私信,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1103,R-A15-107,小红书,自然笔记/专业号/商业合作,企业号/个人号/达人号,图文/视频,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1104,R-A15-107,抖音,短视频/直播/私信,企业号/个人号,视频/直播/私信,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1105,R-A15-108,微信,朋友圈/公众号/社群,企业号/个人号,图文/私信,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1106,R-A15-108,小红书,自然笔记/专业号/商业合作,企业号/个人号/达人号,图文/视频,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1107,R-A15-108,抖音,短视频/直播/私信,企业号/个人号,视频/直播/私信,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1108,R-A15-109,微信,朋友圈/公众号/社群,企业号/个人号,图文/私信,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1109,R-A15-109,小红书,自然笔记/专业号/商业合作,企业号/个人号/达人号,图文/视频,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1110,R-A15-109,抖音,短视频/直播/私信,企业号/个人号,视频/直播/私信,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1111,R-A15-110,微信,朋友圈/公众号/社群,企业号/个人号,图文/私信,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1112,R-A15-110,小红书,自然笔记/专业号/商业合作,企业号/个人号/达人号,图文/视频,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1113,R-A15-110,抖音,短视频/直播/私信,企业号/个人号,视频/直播/私信,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1114,R-A15-111,微信,朋友圈/公众号/社群,企业号/个人号,图文/私信,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1115,R-A15-111,小红书,自然笔记/专业号/商业合作,企业号/个人号/达人号,图文/视频,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1116,R-A15-111,抖音,短视频/直播/私信,企业号/个人号,视频/直播/私信,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1117,R-A15-112,微信,朋友圈/公众号/社群,企业号/个人号,图文/私信,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1118,R-A15-112,小红书,自然笔记/专业号/商业合作,企业号/个人号/达人号,图文/视频,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1119,R-A15-112,抖音,短视频/直播/私信,企业号/个人号,视频/直播/私信,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1120,R-A15-113,微信,朋友圈/公众号/社群,企业号/个人号,图文/私信,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1121,R-A15-113,小红书,自然笔记/专业号/商业合作,企业号/个人号/达人号,图文/视频,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1122,R-A15-113,抖音,短视频/直播/私信,企业号/个人号,视频/直播/私信,阻止,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1123,R-A15-114,微信,朋友圈/公众号/社群,企业号/个人号,图文/私信,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1124,R-A15-114,小红书,自然笔记/专业号/商业合作,企业号/个人号/达人号,图文/视频,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1125,R-A15-114,抖音,短视频/直播/私信,企业号/个人号,视频/直播/私信,人工审核,pending_review,S0015,2026-07-27,隐私和肖像为跨平台通用要求
RP1126,R-A16-101,微信,朋友圈/公众号/视频号,企业号/个人号,图文/视频/直播,人工审核,pending_review,S0028,2026-07-27,广告性质需结合整体链路判断
RP1127,R-A16-101,小红书,自然笔记/商业合作/聚光,企业号/个人号/达人号,笔记/广告,人工审核,pending_review,S0018,2026-07-27,广告性质需结合整体链路判断
RP1128,R-A16-101,抖音,普通内容/直播/电商,企业号/个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,广告性质需结合整体链路判断
RP1129,R-A16-102,微信,朋友圈/公众号/视频号,企业号/个人号,图文/视频/直播,人工审核,pending_review,S0028,2026-07-27,广告性质需结合整体链路判断
RP1130,R-A16-102,小红书,自然笔记/商业合作/聚光,企业号/个人号/达人号,笔记/广告,人工审核,pending_review,S0018,2026-07-27,广告性质需结合整体链路判断
RP1131,R-A16-102,抖音,普通内容/直播/电商,企业号/个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,广告性质需结合整体链路判断
RP1132,R-A16-103,微信,朋友圈/公众号/视频号,企业号/个人号,图文/视频/直播,人工审核,pending_review,S0028,2026-07-27,广告性质需结合整体链路判断
RP1133,R-A16-103,小红书,自然笔记/商业合作/聚光,企业号/个人号/达人号,笔记/广告,人工审核,pending_review,S0018,2026-07-27,广告性质需结合整体链路判断
RP1134,R-A16-103,抖音,普通内容/直播/电商,企业号/个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,广告性质需结合整体链路判断
RP1135,R-A16-104,微信,朋友圈/公众号/视频号,企业号/个人号,图文/视频/直播,人工审核,pending_review,S0028,2026-07-27,广告性质需结合整体链路判断
RP1136,R-A16-104,小红书,自然笔记/商业合作/聚光,企业号/个人号/达人号,笔记/广告,人工审核,pending_review,S0018,2026-07-27,广告性质需结合整体链路判断
RP1137,R-A16-104,抖音,普通内容/直播/电商,企业号/个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,广告性质需结合整体链路判断
RP1138,R-A16-105,微信,朋友圈/公众号/视频号,企业号/个人号,图文/视频/直播,人工审核,pending_review,S0028,2026-07-27,广告性质需结合整体链路判断
RP1139,R-A16-105,小红书,自然笔记/商业合作/聚光,企业号/个人号/达人号,笔记/广告,人工审核,pending_review,S0018,2026-07-27,广告性质需结合整体链路判断
RP1140,R-A16-105,抖音,普通内容/直播/电商,企业号/个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,广告性质需结合整体链路判断
RP1141,R-A16-106,微信,朋友圈/公众号/视频号,企业号/个人号,图文/视频/直播,人工审核,pending_review,S0028,2026-07-27,广告性质需结合整体链路判断
RP1142,R-A16-106,小红书,自然笔记/商业合作/聚光,企业号/个人号/达人号,笔记/广告,人工审核,pending_review,S0018,2026-07-27,广告性质需结合整体链路判断
RP1143,R-A16-106,抖音,普通内容/直播/电商,企业号/个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,广告性质需结合整体链路判断
RP1144,R-A16-107,微信,朋友圈/公众号/视频号,企业号/个人号,图文/视频/直播,人工审核,pending_review,S0028,2026-07-27,广告性质需结合整体链路判断
RP1145,R-A16-107,小红书,自然笔记/商业合作/聚光,企业号/个人号/达人号,笔记/广告,人工审核,pending_review,S0018,2026-07-27,广告性质需结合整体链路判断
RP1146,R-A16-107,抖音,普通内容/直播/电商,企业号/个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,广告性质需结合整体链路判断
RP1147,R-A16-108,微信,朋友圈/公众号/视频号,企业号/个人号,图文/视频/直播,人工审核,pending_review,S0028,2026-07-27,广告性质需结合整体链路判断
RP1148,R-A16-108,小红书,自然笔记/商业合作/聚光,企业号/个人号/达人号,笔记/广告,人工审核,pending_review,S0018,2026-07-27,广告性质需结合整体链路判断
RP1149,R-A16-108,抖音,普通内容/直播/电商,企业号/个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,广告性质需结合整体链路判断
RP1150,R-A16-109,微信,朋友圈/公众号/视频号,企业号/个人号,图文/视频/直播,人工审核,pending_review,S0028,2026-07-27,广告性质需结合整体链路判断
RP1151,R-A16-109,小红书,自然笔记/商业合作/聚光,企业号/个人号/达人号,笔记/广告,人工审核,pending_review,S0018,2026-07-27,广告性质需结合整体链路判断
RP1152,R-A16-109,抖音,普通内容/直播/电商,企业号/个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,广告性质需结合整体链路判断
RP1153,R-A16-110,微信,朋友圈/公众号/视频号,企业号/个人号,图文/视频/直播,人工审核,pending_review,S0028,2026-07-27,广告性质需结合整体链路判断
RP1154,R-A16-110,小红书,自然笔记/商业合作/聚光,企业号/个人号/达人号,笔记/广告,人工审核,pending_review,S0018,2026-07-27,广告性质需结合整体链路判断
RP1155,R-A16-110,抖音,普通内容/直播/电商,企业号/个人号,短视频/直播,人工审核,pending_review,S0022,2026-07-27,广告性质需结合整体链路判断
